Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv)),GHI (Wh/m2),Class
1.5465672024158816,0.0,-1.4673695975944014,0.1820095064160816,-0.33141984149635867,0.7108687570899668,-0.2391251271504321,2.033152250499717,2.543475256765618,0.0,-1.1194937908028886,0.28670929491466857,0.0,0.4503821572552928,4.1314933565570344e-16,0.3358543325472452,0.18247939579718483,-1.336437775143419,0.0,-0.44961200891255504,-0.46997948599050826,0.5092395099945257,running
1.3661931664219347,0.0,-1.442493147463701,0.1820095064160816,-0.4590343213125627,-1.483081518598863,-0.7096367041972363,0.7266714210968044,1.3210826036095276,0.0,0.06401090397672068,1.2223445097891725,0.0,0.48659989864235526,4.1314933565570344e-16,-0.35988479586408395,0.18247939579718483,-1.2349009392963437,0.0,-0.4024402793060642,-0.46997948599050826,0.5207157552992694,running
0.9915701685883515,0.0,-1.3512794969844661,0.1820095064160816,-0.8418777607611749,-1.483081518598863,-1.1801482812440405,0.04030410713637054,0.2426637170765785,0.0,0.48183894792058435,0.14789893493328743,0.0,0.1047389296700657,4.1314933565570344e-16,-1.1483891413969234,0.18247939579718483,-1.1527044531344255,0.0,-0.2991117287394658,-0.46997948599050826,0.3820947922761846,Monitoring
0.14519969200136798,0.0,-1.18543649611313,0.1820095064160816,-1.0971067203935825,-1.483081518598863,-1.1801482812440405,-0.6871102587125255,-0.12557687832491676,0.0,0.8302611567555145,0.27269478741654857,0.0,-0.04603710240868372,4.1314933565570344e-16,-1.032432619995035,0.18247939579718483,-0.9834763933893,0.0,-0.18005926830403876,-0.021680601288252607,0.08654372487211903,Monitoring
-0.5901713778201098,0.0,-0.9947170451110936,0.1820095064160816,-0.9694922405773785,-1.483081518598863,-0.7096367041972363,-1.0455143829198401,-0.2432477452765223,0.0,0.3122986021822331,0.28137043491538494,0.0,-0.09859219453012767,4.1314933565570344e-16,-0.846902185752014,0.18247939579718483,0.24947089903947145,0.0,-0.1328875386975479,-0.021680601288252607,-0.3432492119519057,Monitoring
-1.3810421510243402,0.0,-1.1190992957645955,0.1820095064160816,-0.9694922405773785,-1.483081518598863,-0.7096367041972363,-1.3274718165295145,-0.5851854410064817,0.0,0.45233941942091954,0.2439984149203975,0.0,-0.23283404032347893,4.1314933565570344e-16,-1.032432619995035,0.18247939579718483,-0.1228308323998048,0.0,-0.049775443676590266,-0.021680601288252607,-0.47118669661564017,Inspecting
-1.4365418544070936,0.0,-1.0113013451982271,0.1820095064160816,-0.8418777607611749,-1.483081518598863,-0.9448924927206387,-0.9339435371827438,-0.5145829208355185,0.0,-0.023832136444503358,0.3614533349046435,0.0,-0.19090806795693382,4.1314933565570344e-16,-1.217963054238056,0.18247939579718483,0.5202357946316724,0.0,-0.06549935354541885,-0.021680601288252607,-0.4239604371543444,Inspecting
-1.2006681150303928,0.0,-1.0527620954160612,0.1820095064160816,-0.7142632809449708,-1.483081518598863,-0.9448924927206387,-0.6189280752065223,0.017012525157617153,0.0,0.5878733642499356,0.563662657377521,0.0,-0.05489470220443271,4.1314933565570344e-16,-0.846902185752014,0.18247939579718483,-0.3162343292513766,0.0,-0.12390244734393122,-0.46997948599050826,-0.027388210422997883,Monitoring
-0.3542976384434095,0.0,-0.8205818941961907,0.1820095064160816,-0.33141984149635867,0.7108687570899668,-0.2391251271504321,0.7516026841565752,0.6455133909932514,0.0,-0.33267581120905043,-0.10970106003216093,0.0,0.008880016324959933,4.1314933565570344e-16,0.5677673753510215,0.18247939579718483,-0.5821641374222881,0.0,-0.18455181398084838,-0.021680601288252607,0.2624624851356194,Monitoring
0.4088232830694447,0.0,-0.803997594109057,0.1820095064160816,-0.5866488011287668,-1.483081518598863,-0.4743809156738345,1.4185484064516622,1.578574147762453,0.0,-0.4140453439872928,-0.007595362545856252,0.0,0.09883386313956638,4.1314933565570344e-16,1.3794630251642384,0.18247939579718483,-0.9738062185467216,0.0,-0.2047682695264866,-0.021680601288252607,0.5113535551822417,running
